"cable_style","nc","cc","xa","ne","xae","od","br","wght","ct","core_con","mt"
"",1,c,"6",0,0.00,7.300,21.90,92,p,,1301
B1,3,c,"10",3,2.50,25.500,137.00,913,p,,1301
B1,3,c,"120",3,25.00,48.500,234.00,5145,p,,1301
B1,3,c,"150",3,25.00,51.200,245.00,5968,p,,1301
B1,3,c,"16",3,2.50,26.700,146.00,1097,p,,1301
B1,3,c,"185",3,35.00,56.000,264.00,7074,p,,1301
B1,3,c,"240",3,50.00,60.500,290.00,9054,p,,1301
B1,3,c,"25",3,4.00,29.500,158.00,1450,p,,1301
B1,3,c,"35",3,6.00,32.100,169.00,1838,p,,1301
B1,3,c,"50",3,10.00,35.600,184.00,2462,p,,1301
B1,3,c,"70",3,16.00,40.400,201.00,3450,p,,1301
B1,3,c,"95",3,16.00,44.200,217.00,4056,p,,1301
B3,3,c,"10",3,2.50,34.200,137.00,1944,p,,1301
B3,3,c,"120",3,25.00,58.500,234.00,7577,p,,1301
B3,3,c,"150",3,25.00,61.300,245.00,8619,p,,1301
B3,3,c,"16",3,2.50,36.500,146.00,2288,p,,1301
B3,3,c,"185",3,35.00,65.900,264.00,10165,p,,1301
B3,3,c,"240",3,50.00,72.400,290.00,13076,p,,1301
B3,3,c,"25",3,4.00,39.500,158.00,2731,p,,1301
B3,3,c,"35",3,6.00,42.200,169.00,3274,p,,1301
B3,3,c,"50",3,10.00,45.900,184.00,4120,p,,1301
B3,3,c,"70",3,16.00,50.300,201.00,5297,p,,1301
B3,3,c,"95",3,16.00,54.300,217.00,6181,p,,1301
B4,3,c,"120",3,25.00,62.700,251.00,8200,p,,1301
B4,3,c,"150",3,25.00,65.500,262.00,9270,p,,1301
B4,3,c,"16",3,2.50,40.700,163.00,2708,p,,1301
B4,3,c,"185",3,35.00,70.300,281.00,10898,p,,1301
B4,3,c,"240",3,50.00,75.500,302.00,13464,p,,1301
B4,3,c,"25",3,4.00,43.700,175.00,3168,p,,1301
B4,3,c,"35",3,6.00,46.400,186.00,3738,p,,1301
B4,3,c,"50",3,10.00,50.300,201.00,4642,p,,1301
B4,3,c,"70",3,16.00,54.500,218.00,5841,p,,1301
B4,3,c,"95",3,16.00,58.700,235.00,6787,p,,1301
BB,1,c,"1",0,0.00,0.520,1.60,330,p,,1302
BB,1,c,"1/0",0,0.00,0.560,1.70,400,p,,1302
BB,1,c,"10",0,0.00,0.190,0.60,45,p,,1302
BB,1,c,"12",0,0.00,0.160,0.50,30,p,,1302
BB,1,c,"14",0,0.00,0.140,0.40,20,p,,1302
BB,1,c,"16",0,0.00,0.130,0.40,15,p,,1302
BB,1,c,"18",0,0.00,0.120,0.30,10,p,,1302
BB,1,c,"2",0,0.00,0.440,1.30,250,p,,1302
BB,1,c,"2/0",0,0.00,0.620,1.90,500,p,,1302
BB,1,c,"3/0",0,0.00,0.670,2.00,620,p,,1302
BB,1,c,"4",0,0.00,0.380,1.10,170,p,,1302
BB,1,c,"4/0",0,0.00,0.740,2.20,750,p,,1302
BB,1,c,"6",0,0.00,0.330,1.00,120,p,,1302
BB,1,c,"8",0,0.00,0.260,0.80,80,p,,1302
BH,1,c,"1",0,0.00,0.675,3.38,442,p,,1302
BH,1,c,"1/0",0,0.00,0.715,3.58,523,p,,1302
BH,1,c,"10",0,0.00,10.200,50.80,190,p,,1301
BH,1,c,"10",0,0.00,0.370,1.85,104,p,,1302
BH,1,c,"120",0,0.00,23.000,114.90,1391,p,,1301
BH,1,c,"150",0,0.00,25.400,127.20,1735,p,,1301
BH,1,c,"16",0,0.00,11.200,55.90,252,p,,1301
