"desc_code","desc_name"
NA,Not Applicable
DV,"0.6/1KV 90C IEC 60332-3-22 IEEE-45 LSZH"
ZZ,Miscellaneous Charges
ZZTAX,Sales Tax
BV,"0.6/1KV 90C IEC 60092-350 IEC60332-3-22 IEEE-45 LSZH"
CC,Flexible X-HF-110/HFS-110-TP 0.6/1KV 110C AS/NZS5000.1 LSZH
CF,Flexible X-HF-110 450/750V 110C AS/NZS 5000.3 LSZH
ES,"250V 90C IEC 60332-3-22 60331-21 IEEE-45 LSZH Fire Coll"
RC,"250V 90C IEC 60332-3-22 IEEE-45 LSZH Coll"
TD,Custom Design AU
FE,"250V 90C IEC 60332-3-22 60331-21 IEEE-45 LSZH Fire I/Coll"
FZ,"250V 90C IEC 60332-3-22 IEEE-45 LSZH I/Coll"
HT,"0.6/1KV 90C IEC 60332-3-22 60331-21 IEEE-45 LSZH Fire"
CP,Power and Control Cables
TA,Safety Tetser & Surge Plug
PJ,"0.6/1KV 90C IEC 60332-3-22 IEEE-45 LSZH"
EW,"250V 90C IEC 60332-3-22 IEEE-45 LSZH I/Coll"
ZZPRO,Processing Fee
SE,Flexible Multicore 0.6/1Kv 110c AS/NZS 5000
CH,Switchboard Cable 0.5 mm sq - 4.0 mm sq
CT,Telstra Cables
TJ,Jumper Leads
SP,Piggy Back Extension Leads
SO,Plain Clear Extension Leads
SG,Surge Extension Leads
SF,PV1-F SDI PV Cable 0.9/1.5kV DC AS/NZS5033 LSZH 120C
UP,"0.6/1KV 110C IEC 60332-3-22 IEEE-45 LSZH"
PM,COMPOUND
MK,"0.6/1KV 90C IEC 60332-3-22 IEEE-45 LSZH"
FK,"250V 90C IEC 60332-3-22 60331-21 IEEE-45 LSZH Fire Coll"
FP,Flexible Rubber 0.9/1.5kV dc 90C AS/NZS 5000.1
RR,"0.6/1KV 90C IEC 60332-3-22 60331-21 IEEE-45 LSZH Fire"
FC,"250V 90C IEC 60332-3-22 60331-21 IEEE-45 LSZH Fire I/Coll"
FW,Flexible Rubber Welding 0.6/1kV 110C AS/NZS 1995
RB,"250V 90C IEC 60332-3-22 IEEE-45 LSZH Coll"
